customer_id,transaction_id,purchase_amount,purchase_date,product_category,customer_rating,engagement_score,purchase_interest_score,social_media_platform,review_sentiment,days_since_purchase,engagement_x_interest
114,1037,183,2024-02-06,Clothing,2.7,87.0,4.8,Facebook,Negative,893,417.59999999999997
146,1040,157,2024-02-09,Books,3.5,75.0,3.4,Facebook,Negative,890,255.0
150,1042,389,2024-02-11,Sports,3.0,83.0,2.733333333333333,Facebook,Neutral,888,226.86666666666665
154,1043,335,2024-02-12,Electronics,3.0,72.0,2.9,TikTok,Positive,887,208.79999999999998
163,1044,495,2024-02-13,Sports,3.0,74.5,3.6,TikTok,Neutral,886,268.2
102,1045,380,2024-02-14,Electronics,4.4,51.0,4.8,LinkedIn,Neutral,885,244.79999999999998
150,1046,177,2024-02-15,Books,3.6,83.0,2.733333333333333,Facebook,Neutral,884,226.86666666666665
106,1047,397,2024-02-16,Sports,1.7,99.0,4.2,Facebook,Negative,883,415.8
120,1048,280,2024-02-17,Groceries,1.3,77.0,2.6666666666666665,Instagram,Positive,882,205.33333333333331
172,1049,239,2024-02-18,Electronics,3.6,56.0,2.7,TikTok,Negative,881,151.20000000000002
138,1050,274,2024-02-19,Electronics,1.1,88.0,3.5,LinkedIn,Positive,880,308.0
117,1051,434,2024-02-20,Sports,3.3,88.0,3.8499999999999996,LinkedIn,Neutral,879,338.79999999999995
103,1052,426,2024-02-21,Groceries,4.8,64.33333333333333,2.8666666666666667,Instagram,Positive,878,184.42222222222222
188,1053,332,2024-02-22,Groceries,3.3,50.0,3.6,TikTok,Positive,877,180.0
113,1055,170,2024-02-24,Groceries,3.6,74.0,1.85,Facebook,Neutral,875,136.9
189,1057,282,2024-02-26,Groceries,3.2,82.5,3.5999999999999996,Facebook,Negative,873,296.99999999999994
152,1058,308,2024-02-27,Clothing,4.8,88.0,4.15,Facebook,Positive,872,365.20000000000005
101,1059,408,2024-02-28,Books,2.5,68.0,1.0,Twitter,Neutral,871,68.0
183,1060,247,2024-02-29,Electronics,4.8,81.0,4.55,TikTok,Positive,870,368.55
191,1061,460,2024-03-01,Sports,4.6,92.0,2.1,Facebook,Positive,869,193.20000000000002
143,1064,214,2024-03-04,Sports,1.4,68.0,1.2,Instagram,Negative,866,81.6
107,1065,274,2024-03-05,Books,1.1,77.0,3.5,Twitter,Positive,865,269.5
146,1066,356,2024-03-06,Groceries,1.4,75.0,3.4,Facebook,Negative,864,255.0
177,1068,221,2024-03-08,Groceries,1.3,71.0,1.35,LinkedIn,Positive,862,95.85000000000001
180,1069,201,2024-03-09,Electronics,2.3,77.5,2.95,Facebook,Negative,861,228.625
135,1070,364,2024-03-10,Electronics,3.0,50.0,1.6,TikTok,Positive,860,80.0
149,1071,423,2024-03-11,Sports,1.1,51.0,1.3,Facebook,Positive,859,66.3
103,1072,209,2024-03-12,Sports,4.3,64.33333333333333,2.8666666666666667,Instagram,Positive,858,184.42222222222222
101,1073,145,2024-03-13,Books,2.1,68.0,1.0,Twitter,Neutral,857,68.0
105,1074,282,2024-03-14,Books,1.5,51.0,4.25,Instagram,Neutral,856,216.75
103,1076,162,2024-03-16,Sports,3.5,64.33333333333333,2.8666666666666667,Instagram,Positive,854,184.42222222222222
192,1078,491,2024-03-18,Books,3.9,60.0,4.3,Instagram,Positive,852,258.0
162,1079,101,2024-03-19,Books,4.2,80.0,3.7,Twitter,Positive,851,296.0
117,1080,317,2024-03-20,Electronics,2.1,88.0,3.8499999999999996,LinkedIn,Neutral,850,338.79999999999995
189,1081,344,2024-03-21,Books,3.0,82.5,3.5999999999999996,Facebook,Negative,849,296.99999999999994
143,1082,435,2024-03-22,Groceries,4.0,68.0,1.2,Instagram,Negative,848,81.6
133,1083,436,2024-03-23,Sports,4.2,65.0,3.1333333333333333,Twitter,Positive,847,203.66666666666666
173,1084,162,2024-03-24,Electronics,5.0,70.5,4.1,Facebook,Negative,846,289.04999999999995
199,1086,162,2024-03-26,Books,2.5,57.0,1.8,LinkedIn,Positive,844,102.60000000000001
113,1087,489,2024-03-27,Books,4.1,74.0,1.85,Facebook,Neutral,843,136.9
194,1088,130,2024-03-28,Electronics,2.4,89.0,4.0,LinkedIn,Negative,842,356.0
147,1089,236,2024-03-29,Groceries,3.0,77.0,1.5,Twitter,Neutral,841,115.5
114,1090,162,2024-03-30,Clothing,4.4,87.0,4.8,Facebook,Negative,840,417.59999999999997
177,1092,179,2024-04-01,Clothing,4.0,71.0,1.35,LinkedIn,Positive,838,95.85000000000001
186,1093,269,2024-04-02,Clothing,4.0,79.0,2.8,TikTok,Positive,837,221.2
139,1095,392,2024-04-04,Clothing,4.6,72.0,4.0,Twitter,Negative,835,288.0
179,1097,274,2024-04-06,Groceries,4.3,50.0,3.0,Twitter,Negative,833,150.0
181,1098,434,2024-04-07,Clothing,3.0,66.0,2.1,Twitter,Positive,832,138.6
152,1099,452,2024-04-08,Clothing,4.6,88.0,4.15,Facebook,Positive,831,365.20000000000005
125,1101,179,2024-04-10,Electronics,3.0,66.5,3.825,Twitter,Positive,829,254.3625
188,1102,102,2024-04-11,Electronics,4.6,50.0,3.6,TikTok,Positive,828,180.0
140,1104,267,2024-04-13,Groceries,2.3,86.0,3.1,LinkedIn,Negative,826,266.6
128,1105,209,2024-04-14,Books,4.8,98.0,3.5,Facebook,Positive,825,343.0
114,1106,247,2024-04-15,Clothing,4.8,87.0,4.8,Facebook,Negative,824,417.59999999999997
144,1107,465,2024-04-16,Clothing,3.3,70.0,1.3,Twitter,Positive,823,91.0
188,1109,373,2024-04-18,Clothing,2.8,50.0,3.6,TikTok,Positive,821,180.0
187,1112,233,2024-04-21,Sports,3.7,85.66666666666667,2.733333333333334,Instagram,Negative,818,234.15555555555562
100,1113,172,2024-04-22,Clothing,4.0,77.0,4.4,Instagram,Negative,817,338.8
107,1114,450,2024-04-23,Electronics,4.2,77.0,3.5,Twitter,Positive,816,269.5
187,1115,304,2024-04-24,Sports,4.2,85.66666666666667,2.733333333333334,Instagram,Negative,815,234.15555555555562
162,1116,343,2024-04-25,Books,1.4,80.0,3.7,Twitter,Positive,814,296.0
180,1118,374,2024-04-27,Electronics,1.2,77.5,2.95,Facebook,Negative,812,228.625
107,1119,421,2024-04-28,Sports,3.2,77.0,3.5,Twitter,Positive,811,269.5
132,1122,444,2024-05-01,Clothing,2.4,63.0,3.3,LinkedIn,Positive,808,207.89999999999998
104,1123,289,2024-05-02,Clothing,1.5,83.0,2.9333333333333336,Twitter,Negative,807,243.4666666666667
140,1124,193,2024-05-03,Groceries,1.6,86.0,3.1,LinkedIn,Negative,806,266.6
127,1125,146,2024-05-04,Electronics,4.0,67.5,3.7,Instagram,Negative,805,249.75
106,1126,250,2024-05-05,Clothing,3.5,99.0,4.2,Facebook,Negative,804,415.8
172,1127,173,2024-05-06,Books,1.4,56.0,2.7,TikTok,Negative,803,151.20000000000002
111,1129,375,2024-05-08,Clothing,3.8,98.0,4.1,Instagram,Negative,801,401.79999999999995
133,1130,398,2024-05-09,Electronics,1.3,65.0,3.1333333333333333,Twitter,Positive,800,203.66666666666666
132,1131,308,2024-05-10,Sports,4.3,63.0,3.3,LinkedIn,Positive,799,207.89999999999998
147,1132,197,2024-05-11,Clothing,3.8,77.0,1.5,Twitter,Neutral,798,115.5
122,1133,301,2024-05-12,Groceries,1.3,81.0,2.95,Instagram,Neutral,797,238.95000000000002
187,1135,469,2024-05-14,Books,4.9,85.66666666666667,2.733333333333334,Instagram,Negative,795,234.15555555555562
198,1137,395,2024-05-16,Books,2.5,79.0,3.05,Facebook,Negative,793,240.95
143,1138,196,2024-05-17,Sports,4.3,68.0,1.2,Instagram,Negative,792,81.6
185,1139,197,2024-05-18,Sports,4.8,69.25,2.725,TikTok,Positive,791,188.70625
190,1140,401,2024-05-19,Sports,4.9,82.0,4.8,Twitter,Neutral,790,393.59999999999997
198,1143,466,2024-05-22,Books,3.0,79.0,3.05,Facebook,Negative,787,240.95
146,1144,473,2024-05-23,Sports,4.1,75.0,3.4,Facebook,Negative,786,255.0
177,1145,177,2024-05-24,Groceries,3.2,71.0,1.35,LinkedIn,Positive,785,95.85000000000001
102,1146,88,2024-05-25,Sports,2.7,51.0,4.8,LinkedIn,Neutral,784,244.79999999999998
100,1147,387,2024-05-26,Books,4.6,77.0,4.4,Instagram,Negative,783,338.8
104,1148,409,2024-05-27,Clothing,1.4,83.0,2.9333333333333336,Twitter,Negative,782,243.4666666666667
189,1149,178,2024-05-28,Sports,3.0,82.5,3.5999999999999996,Facebook,Negative,781,296.99999999999994
113,1150,316,2024-05-29,Clothing,1.0,74.0,1.85,Facebook,Neutral,780,136.9
